,Movie Name,Genre
45, Minions: The Rise of Gru (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0049633/"">Kyle Balda</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1556070/"">Brad Ableson</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm3646390/"">Jonathan del Val</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5113044"">
</a>
</span>]"
46, Shotgun Wedding (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0601337/"">Jason Moore</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9686790"">
</a>
</span>]"
47, Thor: Love and Thunder (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm0169806/"">Taika Waititi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10648342"">
</a>
</span>]"
48, Nope (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm1443502/"">Jordan Peele</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10954984"">
</a>
</span>]"
49, Black Adam (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1429471/"">Jaume Collet-Serra</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6443346"">
</a>
</span>]"
50, Young Guns 3: Alias Billy the Kid (2022),"[<span>Western</span>, <span>
<a href=""/name/nm0000389/"">Emilio Estevez</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13917358"">
</a>
</span>]"
51, BROS (2022),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0831557/"">Nicholas Stoller</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9731598"">
</a>
</span>]"
52, Secret Headquarters (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1160962/"">Henry Joost</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1413364/"">Ariel Schulman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14001894"">
</a>
</span>]"
53, Beast (2022),"[<span>Thriller</span>, <span>
<a href=""/name/nm0466349/"">Baltasar Kormákur</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13223398"">
</a>
</span>]"
54, Samaritan (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1170339/"">Julius Avery</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5500218"">
</a>
</span>]"
